LocalityDescription;TaxonomicName;NumberOfUnits
A1.2002;Agroeca cuprea Menge, 1873;7
A1.2002;Agyneta decora (O. P.-Cambridge, 1871);7
A1.2002;Agyneta saxatilis (Blackwall, 1844);3
A1.2002;Alopecosa pulverulenta (Clerck, 1757);55
A1.2002;Atypus affinis Eichwald, 1830;1
A1.2002;Aulonia albimana (Walckenaer, 1805);1
A1.2002;Bathyphantes gracilis (Blackwall, 1841);1
A1.2002;Bathyphantes parvulus (Westring, 1851);33
A1.2002;Callilepis nocturna (Linnaeus, 1758);1
A1.2002;Centromerita bicolor (Blackwall, 1833);1
A1.2002;Ceratinella scabrosa (O. P.-Cambridge, 1871);1
A1.2002;Cicurina cicur (Fabricius, 1793);6
A1.2002;Coelotes terrestris (Wider, 1834);3
A1.2002;Dicymbium tibiale (Blackwall, 1836);2
A1.2002;Diplostyla concolor (Wider, 1834);2
A1.2002;Drassodes cupreus (Blackwall, 1834);1
A1.2002;Drassyllus pusillus (C. L. Koch, 1833);1
A1.2002;Dysdera erythrina (Walckenaer, 1802);5
A1.2002;Eratigena picta (Simon, 1870);3
A1.2002;Erigone atra Blackwall, 1833;3
A1.2002;Euophrys frontalis (Walckenaer, 1802);13
A1.2002;Gonatium rubens (Blackwall, 1833);2
A1.2002;Hahnia nava (Blackwall, 1841);11
A1.2002;Hahnia pusilla C. L. Koch, 1841;1
A1.2002;Histopona torpida (C. L. Koch, 1837);2
A1.2002;Micrargus herbigradus (Blackwall, 1854);7
A1.2002;Micrargus subaequalis (Westring, 1851);3
A1.2002;Neottiura bimaculata (Linnaeus, 1767);2
A1.2002;Neriene hammeni (van Helsdingen, 1963);2
A1.2002;Oedothorax apicatus (Blackwall, 1850);1
A1.2002;Ozyptila claveata (Walckenaer, 1837);2
A1.2002;Ozyptila simplex (O. P.-Cambridge, 1862);6
A1.2002;Pachygnatha clercki Sundevall, 1823;2
A1.2002;Pachygnatha degeeri Sundevall, 1830;3
A1.2002;Palliduphantes ericaeus (Blackwall, 1853);2
A1.2002;Palliduphantes insignis (O. P.-Cambridge, 1913);1
A1.2002;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
A1.2002;Pardosa amentata (Clerck, 1757);1
A1.2002;Pardosa nigriceps (Thorell, 1856);4
A1.2002;Pardosa palustris (Linnaeus, 1758);2
A1.2002;Pardosa pullata (Clerck, 1757);32
A1.2002;Phrurolithus festivus (C. L. Koch, 1835);21
A1.2002;Pisaura mirabilis (Clerck, 1757);1
A1.2002;Pocadicnemis juncea Locket & Millidge, 1953;13
A1.2002;Tenuiphantes tenuis (Blackwall, 1852);5
A1.2002;Trochosa ruricola (De Geer, 1778);2
A1.2002;Trochosa terricola Thorell, 1856;28
A1.2002;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);8
A1.2002;Walckenaeria dysderoides (Wider, 1834);1
A1.2002;Xysticus cristatus (Clerck, 1757);1
A1.2002;Xysticus ulmi (Hahn, 1831);3
A1.2002;Zelotes latreillei (Simon, 1878);5
A1.2002;Zora spinimana (Sundevall, 1833);15
A2.2002;Agyneta saxatilis (Blackwall, 1844);2
A2.2002;Alopecosa cuneata (Clerck, 1757);1
A2.2002;Alopecosa pulverulenta (Clerck, 1757);4
A2.2002;Bathyphantes gracilis (Blackwall, 1841);71
A2.2002;Bathyphantes parvulus (Westring, 1851);18
A2.2002;Centromerita bicolor (Blackwall, 1833);2
A2.2002;Ceratinella brevis (Wider, 1834);28
A2.2002;Clubiona reclusa O. P.-Cambridge, 1863;3
A2.2002;Collinsia inerrans (O. P.-Cambridge, 1885);2
A2.2002;Diplocephalus cristatus (Blackwall, 1833);1
A2.2002;Diplocephalus latifrons (O. P.-Cambridge, 1863);6
A2.2002;Diplostyla concolor (Wider, 1834);63
A2.2002;Eratigena picta (Simon, 1870);1
A2.2002;Erigone atra Blackwall, 1833;32
A2.2002;Erigone dentipalpis (Wider, 1834);7
A2.2002;Gongylidiellum vivum (O. P.-Cambridge, 1875);1
A2.2002;Leptorhoptrum robustum (Westring, 1851);5
A2.2002;Micrargus herbigradus (Blackwall, 1854);10
A2.2002;Micrargus subaequalis (Westring, 1851);1
A2.2002;Monocephalus fuscipes (Blackwall, 1836);4
A2.2002;Neriene clathrata (Sundevall, 1830);2
A2.2002;Oedothorax apicatus (Blackwall, 1850);57
A2.2002;Oedothorax fuscus (Blackwall, 1834);14
A2.2002;Oedothorax retusus (Westring, 1851);1
A2.2002;Pachygnatha degeeri Sundevall, 1830;20
A2.2002;Palliduphantes ericaeus (Blackwall, 1853);6
A2.2002;Palliduphantes insignis (O. P.-Cambridge, 1913);8
A2.2002;Palliduphantes pallidus (O. P.-Cambridge, 1871);6
A2.2002;Pardosa amentata (Clerck, 1757);239
A2.2002;Pardosa palustris (Linnaeus, 1758);6
A2.2002;Pardosa pullata (Clerck, 1757);2
A2.2002;Piratula latitans (Blackwall, 1841);1
A2.2002;Porrhomma microphthalmum (O. P.-Cambridge, 1871);3
A2.2002;Robertus lividus (Blackwall, 1836);1
A2.2002;Stemonyphantes lineatus (Linnaeus, 1758);3
