LocalityDescription;TaxonomicName;NumberOfUnits
J2.2018;Alopecosa pulverulenta (Clerck, 1757);6
J2.2018;Bathyphantes parvulus (Westring, 1851);0
J2.2018;Centromerus sellarius (Simon, 1884);0
J2.2018;Centromerus sylvaticus (Blackwall, 1841);1
J2.2018;Ceratinella brevis (Wider, 1834);1
J2.2018;Cicurina cicur (Fabricius, 1793);3
J2.2018;Diplostyla concolor (Wider, 1834);3
J2.2018;Dysdera crocata C. L. Koch, 1838;2
J2.2018;Enoplognatha latimana Hippa & Oksala, 1982;1
J2.2018;Eratigena picta (Simon, 1870);1
J2.2018;Erigone atra Blackwall, 1833;1
J2.2018;Euophrys frontalis (Walckenaer, 1802);1
J2.2018;Euryopis flavomaculata (C. L. Koch, 1836);6
J2.2018;Hahnia nava (Blackwall, 1841);1
J2.2018;Histopona torpida (C. L. Koch, 1837);1
J2.2018;Mermessus trilobatus (Emerton, 1882);1
J2.2018;Micrargus herbigradus (Blackwall, 1854);1
J2.2018;Ozyptila simplex (O. P.-Cambridge, 1862);10
J2.2018;Ozyptila trux (Blackwall, 1846);1
J2.2018;Pardosa prativaga (L. Koch, 1870);5
J2.2018;Pardosa pullata (Clerck, 1757);1
J2.2018;Tenuiphantes cristatus (Menge, 1866);1
J2.2018;Tenuiphantes flavipes (Blackwall, 1854);1
J2.2018;Tenuiphantes mengei (Kulczynski, 1887);1
J2.2018;Tenuiphantes tenuis (Blackwall, 1852);15
J2.2018;Tibellus oblongus (Walckenaer, 1802);1
J2.2018;Trachyzelotes pedestris (C. L. Koch, 1837);6
J2.2018;Trochosa ruricola (De Geer, 1778);3
J2.2018;Trochosa terricola Thorell, 1856;84
J2.2018;Xysticus cristatus (Clerck, 1757);1
J2.2018;Zelotes petrensis (C. L. Koch, 1839);1
J2.2018;Zelotes subterraneus (C. L. Koch, 1833);2
J3.2018;Agroeca brunnea (Blackwall, 1833);3
J3.2018;Aulonia albimana (Walckenaer, 1805);2
J3.2018;Ballus chalybeius (Walckenaer, 1802);1
J3.2018;Bathyphantes parvulus (Westring, 1851);2
J3.2018;Centromerus sellarius (Simon, 1884);2
J3.2018;Centromerus serratus (O. P.-Cambridge, 1875);1
J3.2018;Ceratinella brevis (Wider, 1834);4
J3.2018;Cicurina cicur (Fabricius, 1793);2
J3.2018;Dicymbium nigrum (Blackwall, 1834);1
J3.2018;Diplostyla concolor (Wider, 1834);7
J3.2018;Drassyllus lutetianus (L. Koch, 1866);0
J3.2018;Drassyllus pusillus (C. L. Koch, 1833);1
J3.2018;Eratigena picta (Simon, 1870);2
J3.2018;Erigone atra Blackwall, 1833;2
J3.2018;Euophrys frontalis (Walckenaer, 1802);3
J3.2018;Mermessus trilobatus (Emerton, 1882);1
J3.2018;Micaria pulicaria (Sundevall, 1831);1
J3.2018;Micrargus herbigradus (Blackwall, 1854);2
J3.2018;Neon reticulatus (Blackwall, 1853);5
J3.2018;Neottiura bimaculata (Linnaeus, 1767);1
J3.2018;Neriene clathrata (Sundevall, 1830);2
J3.2018;Oedothorax apicatus (Blackwall, 1850);1
J3.2018;Ozyptila praticola (C. L. Koch, 1837);7
J3.2018;Pachygnatha clercki Sundevall, 1823;2
J3.2018;Pachygnatha degeeri Sundevall, 1830;46
J3.2018;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
J3.2018;Pardosa amentata (Clerck, 1757);2
J3.2018;Pardosa saltans;2
J3.2018;Pardosa palustris (Linnaeus, 1758);1
J3.2018;Pardosa prativaga (L. Koch, 1870);4
J3.2018;Phrurolithus festivus (C. L. Koch, 1835);3
J3.2018;Piratula hygrophila (Thorell, 1872);20
J3.2018;Pisaura mirabilis (Clerck, 1757);1
J3.2018;Robertus lividus (Blackwall, 1836);1
J3.2018;Tapinocyba insecta (L. Koch, 1869);1
J3.2018;Tenuiphantes flavipes (Blackwall, 1854);1
J3.2018;Tenuiphantes tenebricola (Wider, 1834);2
J3.2018;Tenuiphantes tenuis (Blackwall, 1852);24
J3.2018;Trachyzelotes pedestris (C. L. Koch, 1837);2
J3.2018;Trochosa ruricola (De Geer, 1778);1
J3.2018;Trochosa terricola Thorell, 1856;76
J3.2018;Walckenaeria alticeps (Denis, 1952);1
J3.2018;Walckenaeria antica (Wider, 1834);2
J3.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);1
J3.2018;Walckenaeria cucullata (C. L. Koch, 1836);1
J3.2018;Walckenaeria nudipalpis (Westring, 1851);1
J3.2018;Zelotes latreillei (Simon, 1878);1
J3.2018;Zelotes petrensis (C. L. Koch, 1839);2
J3.2018;Zelotes subterraneus (C. L. Koch, 1833);1
J4.2018;Agyneta rurestris (C. L. Koch, 1836);4
J4.2018;Alopecosa cuneata (Clerck, 1757);5
J4.2018;Alopecosa pulverulenta (Clerck, 1757);94
J4.2018;Arctosa leopardus (Sundevall, 1833);1
J4.2018;Aulonia albimana (Walckenaer, 1805);17
J4.2018;Bathyphantes parvulus (Westring, 1851);1
J4.2018;Centromerita bicolor (Blackwall, 1833);1
J4.2018;Cicurina cicur (Fabricius, 1793);1
J4.2018;Cnephalocotes obscurus (Blackwall, 1834);4
J4.2018;Dicymbium nigrum (Blackwall, 1834);2
J4.2018;Diplostyla concolor (Wider, 1834);5
J4.2018;Drassodes cupreus (Blackwall, 1834);1
J4.2018;Drassyllus lutetianus (L. Koch, 1866);2
J4.2018;Drassyllus pusillus (C. L. Koch, 1833);19
J4.2018;Eratigena agrestis (Walckenaer, 1802);1
J4.2018;Eratigena picta (Simon, 1870);4
J4.2018;Erigone atra Blackwall, 1833;3
J4.2018;Erigone dentipalpis (Wider, 1834);5
J4.2018;Euophrys frontalis (Walckenaer, 1802);7
J4.2018;Hahnia nava (Blackwall, 1841);12
J4.2018;Hahnia pusilla C. L. Koch, 1841;6
J4.2018;Lepthyphantes leprosus (Ohlert, 1865);1
J4.2018;Micrargus herbigradus (Blackwall, 1854);7
J4.2018;Oedothorax retusus (Westring, 1851);1
J4.2018;Ozyptila atomaria (Panzer, 1801);1
J4.2018;Ozyptila simplex (O. P.-Cambridge, 1862);104
J4.2018;Pachygnatha degeeri Sundevall, 1830;21
J4.2018;Palliduphantes pallidus (O. P.-Cambridge, 1871);1
J4.2018;Pardosa amentata (Clerck, 1757);1
J4.2018;Pardosa lugubris s. l.;3
J4.2018;Pardosa nigriceps (Thorell, 1856);1
J4.2018;Pardosa palustris (Linnaeus, 1758);8
J4.2018;Pardosa prativaga (L. Koch, 1870);72
J4.2018;Pardosa pullata (Clerck, 1757);3
J4.2018;Phlegra fasciata (Hahn, 1826);3
J4.2018;Phrurolithus festivus (C. L. Koch, 1835);2
J4.2018;Tenuiphantes flavipes (Blackwall, 1854);1
J4.2018;Tenuiphantes tenuis (Blackwall, 1852);8
J4.2018;Trachyzelotes pedestris (C. L. Koch, 1837);68
J4.2018;Trochosa ruricola (De Geer, 1778);1
J4.2018;Trochosa terricola Thorell, 1856;63
J4.2018;Troxochrus scabriculus (Westring, 1851);2
J4.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);1
J4.2018;Xysticus cristatus (Clerck, 1757);1
J4.2018;Xysticus kochi Thorell, 1872;11
J4.2018;Zelotes aeneus (Simon, 1878);3
J4.2018;Zelotes latreillei (Simon, 1878);16
J4.2018;Zelotes petrensis (C. L. Koch, 1839);22
J4.2018;Zodarion italicum (Canestrini, 1868);39
J4.2018;Zora spinimana (Sundevall, 1833);1
J5.2018;Alopecosa pulverulenta (Clerck, 1757);34
J5.2018;Aulonia albimana (Walckenaer, 1805);8
J5.2018;Callilepis nocturna (Linnaeus, 1758);3
J5.2018;Ceratinella brevis (Wider, 1834);1
J5.2018;Ceratinella scabrosa (O. P.-Cambridge, 1871);3
J5.2018;Cicurina cicur (Fabricius, 1793);1
J5.2018;Diplostyla concolor (Wider, 1834);6
J5.2018;Drassyllus pusillus (C. L. Koch, 1833);4
J5.2018;Enoplognatha thoracica (Hahn, 1833);3
J5.2018;Eratigena atrica (C. L. Koch, 1843);1
J5.2018;Eratigena picta (Simon, 1870);4
J5.2018;Ero furcata (Villers, 1789);1
J5.2018;Euophrys frontalis (Walckenaer, 1802);6
J5.2018;Hahnia nava (Blackwall, 1841);1
J5.2018;Harpactea rubicunda (C. L. Koch, 1838);2
J5.2018;Micaria pulicaria (Sundevall, 1831);2
J5.2018;Oedothorax fuscus (Blackwall, 1834);1
J5.2018;Ozyptila atomaria (Panzer, 1801);1
J5.2018;Ozyptila simplex (O. P.-Cambridge, 1862);4
J5.2018;Pachygnatha degeeri Sundevall, 1830;4
J5.2018;Pardosa saltans;3
J5.2018;Pardosa prativaga (L. Koch, 1870);10
J5.2018;Pardosa pullata (Clerck, 1757);1
J5.2018;Phlegra fasciata (Hahn, 1826);3
J5.2018;Phrurolithus festivus (C. L. Koch, 1835);8
J5.2018;Pocadicnemis juncea Locket & Millidge, 1953;1
J5.2018;Pocadicnemis pumila (Blackwall, 1841);3
J5.2018;Porrhomma campbelli F. O. P.-Cambridge, 1894;1
J5.2018;Tenuiphantes tenuis (Blackwall, 1852);26
J5.2018;Tenuiphantes zimmermanni (Bertkau, 1890);2
J5.2018;Trachyzelotes pedestris (C. L. Koch, 1837);93
J5.2018;Trochosa ruricola (De Geer, 1778);25
J5.2018;Trochosa terricola Thorell, 1856;46
J5.2018;Walckenaeria antica (Wider, 1834);2
J5.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);2
J5.2018;Walckenaeria dysderoides (Wider, 1834);1
J5.2018;Zelotes latreillei (Simon, 1878);1
J5.2018;Zelotes petrensis (C. L. Koch, 1839);41
J5.2018;Zelotes subterraneus (C. L. Koch, 1833);14
J5.2018;Zodarion italicum (Canestrini, 1868);22
J5.2018;Zora spinimana (Sundevall, 1833);1
JR.2018;Agyneta decora (O. P.-Cambridge, 1871);0
JR.2018;Alopecosa cuneata (Clerck, 1757);8
JR.2018;Alopecosa pulverulenta (Clerck, 1757);116
JR.2018;Argenna subnigra (O. P.-Cambridge, 1861);1
JR.2018;Aulonia albimana (Walckenaer, 1805);6
JR.2018;Bathyphantes gracilis (Blackwall, 1841);0
JR.2018;Centromerita bicolor (Blackwall, 1833);5
JR.2018;Centromerita concinna (Thorell, 1875);2
JR.2018;Clubiona lutescens Westring, 1851;0
JR.2018;Clubiona neglecta O. P.-Cambridge, 1862;1
JR.2018;Clubiona reclusa O. P.-Cambridge, 1863;0
JR.2018;Cnephalocotes obscurus (Blackwall, 1834);6
JR.2018;Dicymbium nigrum (Blackwall, 1834);6
JR.2018;Diplocephalus latifrons (O. P.-Cambridge, 1863);0
JR.2018;Diplostyla concolor (Wider, 1834);3
JR.2018;Drassodes pubescens (Thorell, 1856);2
JR.2018;Drassyllus lutetianus (L. Koch, 1866);3
JR.2018;Drassyllus pusillus (C. L. Koch, 1833);40
JR.2018;Dysdera crocata C. L. Koch, 1838;0
JR.2018;Dysdera erythrina (Walckenaer, 1802);0
JR.2018;Enoplognatha mordax (Thorell, 1875);1
JR.2018;Erigone atra Blackwall, 1833;4
JR.2018;Ero cambridgei Kulczynski, 1911;0
JR.2018;Euophrys frontalis (Walckenaer, 1802);1
JR.2018;Gonatium rubens (Blackwall, 1833);0
JR.2018;Haplodrassus signifer (C. L. Koch, 1839);1
JR.2018;Neon reticulatus (Blackwall, 1853);1
JR.2018;Micrargus subaequalis (Westring, 1851);0
JR.2018;Oedothorax retusus (Westring, 1851);1
JR.2018;Ozyptila simplex (O. P.-Cambridge, 1862);19
JR.2018;Pachygnatha clercki Sundevall, 1823;2
JR.2018;Pachygnatha degeeri Sundevall, 1830;109
JR.2018;Palliduphantes insignis (O. P.-Cambridge, 1913);0
JR.2018;Pardosa agrestis (Westring, 1861);50
JR.2018;Pardosa palustris (Linnaeus, 1758);2
JR.2018;Pardosa prativaga (L. Koch, 1870);115
JR.2018;Pardosa pullata (Clerck, 1757);206
JR.2018;Pelecopsis parallela (Wider, 1834);0
JR.2018;Phlegra fasciata (Hahn, 1826);1
JR.2018;Porrhomma microphthalmum (O. P.-Cambridge, 1871);0
JR.2018;Stemonyphantes lineatus (Linnaeus, 1758);0
JR.2018;Tapinocyba insecta (L. Koch, 1869);0
JR.2018;Tapinocyba praecox (O. P.-Cambridge, 1873);0
JR.2018;Tenuiphantes flavipes (Blackwall, 1854);1
JR.2018;Tenuiphantes tenuis (Blackwall, 1852);3
JR.2018;Tiso vagans (Blackwall, 1834);2
JR.2018;Trachyzelotes pedestris (C. L. Koch, 1837);11
JR.2018;Trochosa ruricola (De Geer, 1778);60
JR.2018;Trochosa terricola Thorell, 1856;215
JR.2018;Walckenaeria acuminata Blackwall, 1833;0
JR.2018;Walckenaeria atrotibialis (O. P.-Cambridge, 1978);4
JR.2018;Walckenaeria unicornis O. P.-Cambridge, 1861;0
JR.2018;Walckenaeria vigilax (Blackwall, 1853);0
JR.2018;Xysticus cristatus (Clerck, 1757);11
JR.2018;Xysticus ulmi (Hahn, 1831);0
JR.2018;Zelotes latreillei (Simon, 1878);19
JR.2018;Zelotes petrensis (C. L. Koch, 1839);9
J5.2018;Agroeca cuprea Menge, 1873;0
J5.2018;Agyneta saxatilis (Blackwall, 1844);0
J5.2018;Atypus affinis Eichwald, 1830;0
J5.2018;Coelotes terrestris (Wider, 1834);0
J5.2018;Dicymbium tibiale (Blackwall, 1836);0
J5.2018;Neriene hammeni (van Helsdingen, 1963);0
