	Familie	KL min	KL max	KL Median	BioMass	HuntingMode	SizeClass	Dispersal	L_Std	M_Std
Agelena labyrinthica (Clerck, 1757)	Agelenidae	8	16,5	12,25	153,2330593	Sheet web	IV	1	0,27	0,69
Agroeca brunnea (Blackwall, 1833)	Liocranidae	5	10	7,5	40,81518553	Ground hunter	III	0	0,55	0,38
Agroeca cuprea Menge, 1873	Liocranidae	3,3	5,2	4,25	8,824689404	Ground hunter	II	0	0,3	0,7
Agyneta decora (O. P.-Cambridge, 1871)	Linyphiinae	1,8	2,5	2,15	1,405091156	Sheet web	II	1	0,2	0,21
Agyneta rurestris (C. L. Koch, 1836)	Linyphiinae	1,6	3	2,3	1,685309963	Sheet web	II	1	0,25	0,38
Agyneta saxatilis (Blackwall, 1844)	Linyphiinae	2	2,3	2,15	1,405091156	Sheet web	II	1	0,43	0,33
Alopecosa cuneata (Clerck, 1757)	Lycosidae	6,5	8,5	7,5	40,81518553	Ground hunter	III	1	0,25	0,59
Alopecosa pulverulenta (Clerck, 1757)	Lycosidae	7	11	9	66,73051909	Ground hunter	III	1	0,29	0,42
Araeoncus humilis (Blackwall, 1841)	Erigoninae	1,4	2	1,7	0,745936654	Other hunters	I	0	0,14	0,31
Arctosa leopardus (Sundevall, 1833)	Lycosidae	5	10	7,5	40,81518553	Ground hunter	III	0	0,14	0,28
Argenna subnigra (O. P.-Cambridge, 1861)	Dictyninae	2	4,5	3,25	4,281107591	Space web	II	1	0,15	0,51
Atypus affinis Eichwald, 1830	Atypidae	7	15	11	114,6342764	Sensing Web	IV	1	0,47	0,7
Atypus piceus (Sulzer, 1776)	Atypidae	9	15	12	144,9461932	Sensing Web	IV	0	0,25	0,73
Aulonia albimana (Walckenaer, 1805)	Lycosidae	3,8	4,4	4,1	8,009810126	Ground hunter	II	1	0,28	0,52
Ballus chalybeius (Walckenaer, 1802)	Salticidae	2,7	3,6	3,15	3,935126488	Other hunters	II	0	0,64	0,49
Bathyphantes gracilis (Blackwall, 1841)	Linyphiinae	1,5	2,5	2	1,156153093	Sheet web	II	1	0,31	0,28
Bathyphantes parvulus (Westring, 1851)	Linyphiinae	2	2,3	2,15	1,405091156	Sheet web	II	1	0,38	0,35
Bolyphantes alticeps (Sundevall, 1833)	Linyphiinae	3	4,5	3,75	6,296953921	Sheet web	II	0	0,47	0,46
Callilepis nocturna (Linnaeus, 1758)	Gnaphosidae	2,8	5,9	4,35	9,395799665	Ground hunter	II	0	0,3	0,74
Centromerita bicolor (Blackwall, 1833)	Linyphiinae	2,5	4	3,25	4,281107591	Sheet web	II	1	0,26	0,33
Centromerita concinna (Thorell, 1875)	Linyphiinae	2	3	2,5	2,110190027	Sheet web	II	1	0,36	0,5
Centromerus sellarius (Simon, 1884)	Linyphiinae	2,2	3	2,6	2,345578227	Sheet web	II	1	0,67	0,46
Centromerus serratus (O. P.-Cambridge, 1875)	Linyphiinae	1,2	2,2	1,7	0,745936654	Sheet web	II	1	0,55	0,42
Centromerus sylvaticus (Blackwall, 1841)	Linyphiinae	2,2	4	3,1	3,768963483	Sheet web	II	1	0,45	0,36
Ceratinella brevis (Wider, 1834)	Erigoninae	1,6	1,8	1,7	0,745936654	Other hunters	II	0	0,49	0,35
Ceratinella scabrosa (O. P.-Cambridge, 1871)	Erigoninae	1,7	2	1,85	0,936959007	Other hunters	II	0	0,41	0,28
Cicurina cicur (Fabricius, 1793)	Hahniidae	5	7	6	22,36225287	Sheet web	III	0	0,48	0,4
Clubiona comta C. L. Koch, 1839	Clubionidae	3	6	4,5	10,29516339	Other hunters	II	0	0,58	0,32
Clubiona lutescens Westring, 1851	Clubionidae	4	9	6,5	27,74900417	Other hunters	III	0	0,43	0,26
Clubiona neglecta O. P.-Cambridge, 1862	Clubionidae	4	9	6,5	27,74900417	Other hunters	III	0	0,25	0,57
Clubiona reclusa O. P.-Cambridge, 1863	Clubionidae	4	9	6,5	27,74900417	Other hunters	III	0	0,28	0,27
Cnephalocotes obscurus (Blackwall, 1834)	Erigoninae	1,5	2	1,75	0,806579202	Other hunters	I	1	0,28	0,46
Coelotes terrestris (Wider, 1834)	Agelenidae	8	13	10,5	101,1203322	Sheet web	IV	0	0,61	0,4
Collinsia inerrans (O. P.-Cambridge, 1885)	Erigoninae	2	2,5	2,25	1,588334553	Other hunters	II	1	0,22	0,3
Dicymbium nigrum (Blackwall, 1834)	Erigoninae	1,8	2,5	2,15	1,405091156	Other hunters	II	1	0,3	0,31
Dicymbium tibiale (Blackwall, 1836)	Erigoninae	2	2,6	2,3	1,685309963	Other hunters	II	1	0,61	0,32
Diplocephalus cristatus (Blackwall, 1833)	Erigoninae	1,7	2,5	2,1	1,31871136	Other hunters	II	1	0,24	0,33
Diplocephalus latifrons (O. P.-Cambridge, 1863)	Erigoninae	1,5	2	1,75	0,806579202	Other hunters	I	0	0,53	0,32
Diplostyla concolor (Wider, 1834)	Linyphiinae	2,5	3	2,75	2,728550365	Sheet web	II	1	0,41	0,32
Drassodes cupreus (Blackwall, 1834)	Gnaphosidae	8	19	13,5	199,1285138	Ground hunter	IV	0	0,29	0,62
Drassodes pubescens (Thorell, 1856)	Gnaphosidae	5,3	9,6	7,45	40,08563949	Ground hunter	III	0	0,36	0,7
Drassyllus lutetianus (L. Koch, 1866)	Gnaphosidae	4,7	7,5	6,1	23,38146646	Ground hunter	III	1	0,2	0,29
Drassyllus pusillus (C. L. Koch, 1833)	Gnaphosidae	3,5	5,5	4,5	10,29516339	Ground hunter	III	1	0,21	0,5
Dysdera crocata C. L. Koch, 1838	Dysderidae	9	15	12	144,9461932	Specialist	IV	0	0,33	0,4
Dysdera erythrina (Walckenaer, 1802)	Dysderidae	6	14	10	88,65517381	Specialist	III	0	0,43	0,62
Enoplognatha latimana Hippa & Oksala, 1982	Theridiidae	3	6	4,5	10,29516339	Space web	III	0	0,25	0,36
Enoplognatha mordax (Thorell, 1875)	Theridiidae	4	8,5	6,25	24,9642801	Space web	III	1	0,07	0,1
Enoplognatha thoracica (Hahn, 1833)	Theridiidae	2,6	5,9	4,25	8,824689404	Space web	II	1	0,26	0,65
Eratigena agrestis (Walckenaer, 1802)	Agelenidae	9	15	12	144,9461932	Sheet web	IV	0	0,17	0,37
Eratigena atrica (C. L. Koch, 1843)	Agelenidae	10	16	13	179,8616867	Sheet web	V	0	0,29	0,42
Eratigena picta (Simon, 1870)	Agelenidae	5,5	9	7,25	37,24965715	Sheet web	III	0	0,45	0,3
Erigone atra Blackwall, 1833	Erigoninae	1,8	2,8	2,3	1,685309963	Other hunters	II	1	0,29	0,29
Erigone dentipalpis (Wider, 1834)	Erigoninae	2	2,6	2,3	1,685309963	Other hunters	II	1	0,23	0,31
Erigone longipalpis (Sundevall, 1830)	Erigoninae	2	4	3	3,450041303	Other hunters	II	1	0,04	0,06
Ero cambridgei Kulczynski, 1911	Mimetidae	1,8	3,2	2,5	2,110190027	Specialist	II	0	0,27	0,52
Ero furcata (Villers, 1789)	Mimetidae	2,5	4,8	3,65	5,85435858	Specialist	II	1	0,46	0,4
Euophrys frontalis (Walckenaer, 1802)	Salticidae	2,65	4,48	3,565	5,493971123	Other hunters	II	0	0,36	0,48
