;Z1.2002;Z2.2002;Z3.2002;Z4.2002;Z5.2002;J2.2002;J3.2002;J4.2002;J5.2002;JR.2002;Z1.2018;Z2.2018;Z3.2018;Z4.2018;Z5.2018;J2.2018;J3.2018;J4.2018;J5.2018;JR.2018
Achillea millefolium agg.;1,875;0;0;3,175;0;0;0;0;0;0,65;0,08;0;0;3,54;0;0;0;0;0;0,06
Aegopodium podagraria;0;0;0;0;0;0;0;0,625;0;0;0;0;1,5;0;0;0;0;0;0;0
Agrimonia eupatoria;1,25;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0,04
Agrostis tenuis;0;0;0;0;0;0,05;0;0;0;17,5;0;0;0;1,58;0;0;0;0;7;0
Agrostis stolonifera;0;0,625;20;10;0;0;0;0;0;0;0;0;0;43,5;0;0;0;0;0;0
Alliaria petiolata;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0
Allium oleraceum;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0;0;0;0;0
Allium schoenoprasum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0
Allium vineale ;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alopecurus pratensis;0;0;0;0;0;0;1,875;0;0;0;0;0;1,5;0;0;0;15,5;0;0;0
Alopecurus myosuroides;0;0;0;2,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthriscus sylvestris;0;2,5;0,625;4,475;0;0,05;0;5;0;0;0,04;0;0,1;2;0,02;0;0,5;0;0;0,5
Apera spica-venti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Arabidopsis thaliana;0;0;0;0;0;0,075;0;0,05;0,025;0;0;0;0;0;0;0;0;0,1;0;0
Arrhenatherum elatius;6,25;15;6,25;15;30;50;17,5;62,5;56,25;10,05;50;0;62,5;21,5;56,04;63,5;8,5;30,5;62,5;47,5
Artemisia vulgaris;0;0;0;4,425;0,775;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0
Barbarea stricta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,04;0
Bellis perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0
Betonica officinalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0
Brachypodium pinnatum;43,75;0;0;0;15;0;0;0;0;0;50;0;0;0;1;0;0;0;0;0
Brachypodium sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0
Brassica juncea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bromus hordeaceus;0;0;0,625;0;0;0;0,1;0;0;1,25;0;0;0,04;0;0;0;0;0;0;0
